OCCTITLE,ANNMEDSAL,EDLEVEL,EDLEVELNUM,county
Accountants and Auditors,62014,Bachelor's degree,6,spokane
Accountants and Auditors,62410,Bachelor's degree,6,yakima
Accountants and Auditors,69061,Bachelor's degree,6,vancouver
Accountants and Auditors,78725,Bachelor's degree,6,snohomish
Accountants and Auditors,78725,Bachelor's degree,6,king
Actuaries,89026,Bachelor's degree,6,vancouver
Actuaries,93863,Bachelor's degree,6,spokane
Actuaries,83216,Bachelor's degree,6,yakima
Actuaries,101245,Bachelor's degree,6,snohomish
Actuaries,101245,Bachelor's degree,6,king
Aerospace Engineering and Operations Technicians,62673,Associate's degree,5,vancouver
Aerospace Engineering and Operations Technicians,67700,Associate's degree,5,spokane
Aerospace Engineering and Operations Technicians,70213,Associate's degree,5,snohomish
Aerospace Engineering and Operations Technicians,70213,Associate's degree,5,king
Aerospace Engineering and Operations Technicians,88681,Associate's degree,5,yakima
Aerospace Engineers,81969,Bachelor's degree,6,vancouver
Aerospace Engineers,95049,Bachelor's degree,6,spokane
Aerospace Engineers,70989,Bachelor's degree,6,yakima
Aerospace Engineers,106716,Bachelor's degree,6,snohomish
Aerospace Engineers,106716,Bachelor's degree,6,king
Agricultural and Food Science Technicians,31940,Associate's degree,5,yakima
Agricultural and Food Science Technicians,38584,Associate's degree,5,spokane
Agricultural and Food Science Technicians,39666,Associate's degree,5,snohomish
Agricultural and Food Science Technicians,39666,Associate's degree,5,king
Agricultural and Food Science Technicians,43063,Associate's degree,5,vancouver
Agricultural Equipment Operators,26540,No formal educational credential,1,vancouver
Agricultural Equipment Operators,36423,No formal educational credential,1,snohomish
Agricultural Equipment Operators,30652,No formal educational credential,1,spokane
Agricultural Equipment Operators,30856,No formal educational credential,1,king
Agricultural Equipment Operators,35377,No formal educational credential,1,yakima
Agricultural Inspectors,33327,Bachelor's degree,6,spokane
Agricultural Inspectors,46322,Bachelor's degree,6,yakima
Agricultural Inspectors,53395,Bachelor's degree,6,vancouver
Agricultural Inspectors,61887,Bachelor's degree,6,snohomish
Agricultural Inspectors,61887,Bachelor's degree,6,king
Air Traffic Controllers,119795,Associate's degree,5,snohomish
Air Traffic Controllers,119795,Associate's degree,5,king
Air Traffic Controllers,119795,Associate's degree,5,yakima
Air Traffic Controllers,119795,Associate's degree,5,vancouver
Aircraft Mechanics and Service Technicians,44651,Postsecondary nondegree award,7,yakima
Aircraft Mechanics and Service Technicians,56840,Postsecondary nondegree award,7,spokane
Aircraft Mechanics and Service Technicians,60471,Postsecondary nondegree award,7,vancouver
Aircraft Mechanics and Service Technicians,70330,Postsecondary nondegree award,7,snohomish
Aircraft Mechanics and Service Technicians,70330,Postsecondary nondegree award,7,king
Airfield Operations Specialists,55897,High school diploma or equivalent,2,snohomish
Airfield Operations Specialists,55897,High school diploma or equivalent,2,king
Airfield Operations Specialists,60708,High school diploma or equivalent,2,yakima
Airfield Operations Specialists,63482,High school diploma or equivalent,2,vancouver
"Airline Pilots, Copilots, and Flight Engineers",60029,Bachelor's degree,6,yakima
"Airline Pilots, Copilots, and Flight Engineers",98301,Bachelor's degree,6,spokane
"Airline Pilots, Copilots, and Flight Engineers",109845,Bachelor's degree,6,snohomish
"Airline Pilots, Copilots, and Flight Engineers",109845,Bachelor's degree,6,king
Anesthesiologists,226186,Doctoral or professional degree,9,snohomish
Anesthesiologists,226186,Doctoral or professional degree,9,vancouver
Anesthesiologists,226186,Doctoral or professional degree,9,spokane
Anesthesiologists,226186,Doctoral or professional degree,9,king
Anesthesiologists,226186,Doctoral or professional degree,9,yakima
Animal Scientists,73736,Bachelor's degree,6,yakima
Animal Scientists,73736,Bachelor's degree,6,snohomish
Animal Scientists,73736,Bachelor's degree,6,vancouver
Animal Scientists,73736,Bachelor's degree,6,spokane
Animal Scientists,73736,Bachelor's degree,6,king
Anthropologists and Archeologists,73736,Master's degree,8,yakima
Anthropologists and Archeologists,73736,Master's degree,8,spokane
Anthropologists and Archeologists,69487,Master's degree,8,snohomish
Anthropologists and Archeologists,69487,Master's degree,8,king
Anthropologists and Archeologists,71941,Master's degree,8,vancouver
"Anthropology and Archeology Teachers, Postsecondary",75936,Doctoral or professional degree,9,snohomish
"Anthropology and Archeology Teachers, Postsecondary",75936,Doctoral or professional degree,9,king
"Anthropology and Archeology Teachers, Postsecondary",76345,Doctoral or professional degree,9,yakima
"Anthropology and Archeology Teachers, Postsecondary",76345,Doctoral or professional degree,9,spokane
"Anthropology and Archeology Teachers, Postsecondary",77163,Doctoral or professional degree,9,vancouver
Appraisers and Assessors of Real Estate,76447,Bachelor's degree,6,yakima
Appraisers and Assessors of Real Estate,76392,Bachelor's degree,6,snohomish
Appraisers and Assessors of Real Estate,76392,Bachelor's degree,6,king
"Architects, Except Landscape and Naval",69345,Bachelor's degree,6,spokane
"Architects, Except Landscape and Naval",70745,Bachelor's degree,6,vancouver
"Architects, Except Landscape and Naval",74506,Bachelor's degree,6,yakima
"Architects, Except Landscape and Naval",77062,Bachelor's degree,6,snohomish
"Architects, Except Landscape and Naval",77062,Bachelor's degree,6,king
