OCCTITLE,ANNMEDSAL,STEMFLAG,EDLEVELNUM
Adhesive Bonding Machine Operators and Tenders,44951,NON-STEM,2
"Administrative Law Judges, Adjudicators, and Hearing Officers",93181,NON-STEM,9
Administrative Services Managers,89641,NON-STEM,6
Adult Basic and Secondary Education and Literacy Teachers and Instructors ,51802,NON-STEM,6
Advertising and Promotions Managers,89256,NON-STEM,6
Advertising Sales Agents,56549,NON-STEM,2
"Agents and Business Managers of Artists, Performers, and Athletes",43935,NON-STEM,6
"Agricultural Workers, All Other",43222,NON-STEM,1
Aircraft Cargo Handling Supervisors,43233,NON-STEM,2
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54034,NON-STEM,2
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",34445,NON-STEM,2
Amusement and Recreation Attendants,23619,NON-STEM,1
Animal Control Workers,56495,NON-STEM,2
Animal Trainers,27736,NON-STEM,2
"Arbitrators, Mediators, and Conciliators",79250,NON-STEM,6
Archivists,61268,NON-STEM,8
Art Directors,89008,NON-STEM,6
"Art, Drama, and Music Teachers, Postsecondary",70703,NON-STEM,8
"Artists and Related Workers, All Other",52566,NON-STEM,1
"Assemblers and Fabricators, All Other",31365,NON-STEM,2
Athletes and Sports Competitors,88228,NON-STEM,1
Audio-Visual and Multimedia Collections Specialists,46845,NON-STEM,6
Automotive and Watercraft Service Attendants,27149.4,NON-STEM,1
Automotive Body and Related Repairers,48918,NON-STEM,2
Automotive Glass Installers and Repairers,37210.93333,NON-STEM,2
Automotive Service Technicians and Mechanics,44338.4,NON-STEM,7
Baggage Porters and Bellhops,22984,NON-STEM,2
Bailiffs,46411.8,NON-STEM,2
Bakers,28707,NON-STEM,1
Barbers,25955,NON-STEM,7
Bartenders,27661.4,NON-STEM,1
Bicycle Repairers,28232.46667,NON-STEM,2
Bill and Account Collectors,37188.8,NON-STEM,2
Billing and Posting Clerks,38384.2,NON-STEM,2
Bridge and Lock Tenders,51393,NON-STEM,2
Broadcast News Analysts,72773,NON-STEM,6
Broadcast Technicians,35550,NON-STEM,5
Brokerage Clerks,52890,NON-STEM,2
"Building Cleaning Workers, All Other",30681.73333,NON-STEM,1
"Bus Drivers, School or Special Client ",34333.4,NON-STEM,2
"Bus Drivers, Transit and Intercity ",43574,NON-STEM,2
Butchers and Meat Cutters,35438.6,NON-STEM,1
Camera and Photographic Equipment Repairers,60886,NON-STEM,5
"Camera Operators, Television, Video, and Motion Picture",51845.1,NON-STEM,6
Cargo and Freight Agents,49598.6,NON-STEM,2
Carpet Installers,41865,NON-STEM,1
Cashiers,27021.2,NON-STEM,1
Cement Masons and Concrete Finishers,46573,NON-STEM,1
Chefs and Head Cooks,48780.8,NON-STEM,2
Chief Executives,197908.6,NON-STEM,6
"Child, Family, and School Social Workers",47861.6,NON-STEM,6
Childcare Workers,24432.6,NON-STEM,2
Choreographers,69808,NON-STEM,2
Cleaners of Vehicles and Equipment,26832,NON-STEM,1
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",30345.45,NON-STEM,1
Clergy,51748.1625,NON-STEM,6
Coaches and Scouts,37492.6,NON-STEM,6
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",32932.8,NON-STEM,2
"Coil Winders, Tapers, and Finishers",32000.86667,NON-STEM,2
"Coin, Vending, and Amusement Machine Servicers and Repairers",34540.36667,NON-STEM,2
"Combined Food Preparation and Serving Workers, Including Fast Food",22499,NON-STEM,1
"Communications Equipment Operators, All Other",33702,NON-STEM,2
